Open,High,Low,Close,Volume,20_day,50_day,b,h,s
0.084263,0.084821,0.084263,0.084263,29142400,0.08353765,0.08833694,0,1,0
0.084263,0.084821,0.084263,0.084263,40006400,0.0840399,0.08844856,0,1,0
0.084821,0.085379,0.084821,0.084821,38102400,0.0849328,0.08857134,0,1,0
0.082031,0.082031,0.080915,0.080915,22960000,0.08557455,0.08868296,0,1,0
0.080915,0.080915,0.080357,0.080357,22153600,0.0864953,0.08882806,0,1,0
0.082031,0.082589,0.082031,0.082031,52550400,0.08733235,0.08898432,0,1,0
0.084263,0.084821,0.084263,0.084263,37251200,0.0881136,0.08899548,0,1,0
0.083705,0.083705,0.083147,0.083147,23968000,0.08856005,0.088962,0,1,0
0.083147,0.083705,0.083147,0.083147,23385600,0.089146,0.08897316,0,1,0
0.083705,0.084263,0.083705,0.083705,37564800,0.08992725,0.088962,0,1,0
0.083147,0.083147,0.082589,0.082589,20428800,0.0906806,0.088962,0,1,0
0.084821,0.085379,0.084821,0.084821,137155200,0.09146185,0.08895084,0,1,0
0.085379,0.085938,0.085379,0.085379,59292800,0.0918804,0.08891736,0,1,0
0.084821,0.084821,0.083705,0.083705,50624000,0.09221525,0.08889504,0,1,0
0.084263,0.084821,0.084263,0.084263,34272000,0.09227105,0.08889504,0,1,0
0.084263,0.084821,0.084263,0.084263,37408000,0.0924943,0.08886156,0,1,0
0.084263,0.084821,0.083705,0.083705,76092800,0.0924385,0.08880576,0,1,0
0.082031,0.082031,0.080915,0.080915,25244800,0.0922711,0.08877228,0,1,0
0.083147,0.083705,0.083147,0.083147,31315200,0.0922153,0.08878344,0,1,0
0.087054,0.087612,0.087054,0.087054,65452800,0.0922432,0.08874996,0,1,0
0.094308,0.094866,0.094308,0.094308,51452800,0.0923548,0.0886495,0,1,0
0.102121,0.102679,0.102121,0.102121,71724800,0.0921874,0.08840396,0,1,0
0.098214,0.098214,0.097656,0.097656,56403200,0.09151775,0.08800216,0,1,0
0.09933,0.099888,0.09933,0.09933,53827200,0.09115505,0.08765618,0,1,0
0.097656,0.097656,0.097098,0.097098,28896000,0.09079235,0.08715396,0,1,0
0.097656,0.098214,0.097656,0.097656,28918400,0.09056915,0.08667406,0,1,0
0.094308,0.094308,0.093192,0.093192,36579200,0.09017855,0.08619416,0,1,0
0.094866,0.095982,0.094866,0.094866,24236800,0.08984375,0.08578122,0,1,0
0.098772,0.09933,0.098772,0.098772,32188800,0.08945315,0.0853348,0,1,0
0.098772,0.09933,0.098772,0.098772,54656000,0.08900675,0.08472096,0,1,0
0.098772,0.098772,0.098214,0.098214,71254400,0.08861615,0.08409596,0,1,0
0.094308,0.094308,0.093192,0.093192,35840000,0.08819765,0.0834598,0,1,0
0.092634,0.092634,0.092076,0.092076,66080000,0.08805815,0.08285712,0,1,0
0.085938,0.085938,0.084821,0.084821,70044800,0.08797445,0.0823772,0,1,0
0.088728,0.089286,0.088728,0.088728,56604800,0.0881419,0.08216516,0,1,0
0.083705,0.083705,0.083147,0.083147,33331200,0.088114,0.08198658,0,1,0
0.080915,0.080915,0.080357,0.080357,59920000,0.0880861,0.0818973,0,1,0
0.080357,0.080357,0.079799,0.079799,41753600,0.0881977,0.08177454,1,0,0
0.083705,0.084263,0.083705,0.083705,25715200,0.088393,0.08165178,0,1,0
0.089286,0.090402,0.089286,0.089286,46704000,0.0883372,0.08142858,0,1,0
0.09096,0.092076,0.09096,0.09096,28000000,0.08805815,0.08112724,0,1,0
0.089844,0.089844,0.088728,0.088728,55507200,0.0876117,0.08081474,0,1,0
0.090402,0.09096,0.090402,0.090402,25827200,0.08733265,0.08054688,0,1,0
0.092076,0.092634,0.092076,0.092076,33331200,0.0870257,0.08032366,0,1,0
0.092634,0.093192,0.092634,0.092634,24259200,0.08660715,0.08006696,0,1,0
0.090402,0.090402,0.089844,0.089844,44710400,0.0861049,0.0797991,0,1,0
0.087612,0.087612,0.086496,0.086496,21212800,0.08568635,0.07957588,0,1,0
0.087054,0.08817,0.087054,0.087054,31360000,0.0854631,0.0793973,0,1,0
0.089844,0.090402,0.089844,0.089844,39603200,0.08518405,0.07921872,0,1,0
0.09096,0.091518,0.09096,0.09096,53155200,0.0847655,0.07897318,0,1,0
0.09096,0.09096,0.089844,0.089844,38528000,0.08431905,0.07858256,0,1,0
0.090402,0.091518,0.090402,0.090402,54275200,0.0839284,0.07822542,0,1,0
0.090402,0.09096,0.090402,0.090402,31472000,0.08350985,0.07787944,0,1,0
0.088728,0.088728,0.08817,0.08817,22041600,0.0830076,0.0775781,0,1,0
0.08817,0.088728,0.08817,0.08817,40297600,0.08231005,0.07728792,0,1,0
0.083147,0.083147,0.082589,0.082589,31696000,0.0815567,0.07693078,0,1,0
0.082589,0.083147,0.082589,0.082589,57904000,0.0811103,0.07667408,0,1,0
0.083705,0.084263,0.083705,0.083705,38796800,0.0806081,0.07639506,0,1,0
0.083147,0.083147,0.082589,0.082589,24528000,0.0800501,0.07609372,0,1,0
0.083705,0.084263,0.083705,0.083705,19644800,0.07932465,0.0758482,0,1,0
0.082589,0.082589,0.082031,0.082031,34316800,0.0785155,0.0755357,0,1,0
0.083147,0.083705,0.083147,0.083147,25580800,0.07773425,0.07520088,0,1,0
0.084263,0.084821,0.084263,0.084263,28380800,0.0767298,0.07484374,0,1,0
0.084263,0.084263,0.083705,0.083705,13596800,0.07592065,0.07447544,0,1,0
0.083147,0.083147,0.082589,0.082589,26633600,0.07544635,0.07416294,0,1,0
0.082031,0.082031,0.081473,0.081473,34540800,0.07530685,0.07391742,0,1,0
0.082031,0.082589,0.082031,0.082031,37945600,0.07516735,0.07367188,0,1,0
0.082031,0.082031,0.081473,0.081473,30800000,0.07477675,0.07345984,0,1,0
0.081473,0.082031,0.081473,0.081473,17427200,0.07438615,0.07328128,0,1,0
0.082031,0.082589,0.082031,0.082031,35302400,0.07393975,0.0730804,0,1,0
0.082031,0.082589,0.082031,0.082031,34809600,0.07354915,0.0728237,0,1,0
0.082031,0.082589,0.082031,0.082031,23654400,0.07321435,0.07253352,0,1,0
0.080915,0.080915,0.080357,0.080357,38371200,0.07287955,0.0722545,0,1,0
0.074777,0.074777,0.074219,0.074219,45315200,0.07282375,0.07195316,1,0,0
0.073661,0.073661,0.073103,0.073103,35145600,0.07307485,0.07175226,0,1,0
0.073661,0.074219,0.073661,0.073661,52505600,0.07338175,0.07155136,1,0,0
0.073103,0.073103,0.072545,0.072545,86934400,0.07363285,0.07132814,0,1,0
0.072545,0.073661,0.072545,0.072545,22579200,0.07388395,0.0711384,0,1,0
0.068638,0.068638,0.06808,0.06808,46547200,0.07416295,0.07095982,0,1,0
0.06808,0.06808,0.067522,0.067522,51363200,0.0746373,0.0708817,0,1,0
0.066964,0.066964,0.066406,0.066406,47152000,0.07483265,0.07081474,0,1,0
0.063616,0.063616,0.063058,0.063058,50489600,0.0751117,0.07075894,0,1,0
0.06808,0.068638,0.06808,0.06808,56336000,0.07561395,0.07074778,0,1,0
0.074219,0.074777,0.074219,0.074219,65811200,0.0759767,0.07063618,0,1,0
0.079799,0.080357,0.079799,0.079799,69193600,0.0759488,0.07037948,0,1,0
0.079241,0.079241,0.078683,0.078683,55955200,0.0754745,0.0700335,0,1,0
